,New,N. Sum,Deaths,D. Sum
		0,2,2,2,2
		1,3,5,0,2
		2,13,18,2,4
		3,10,28,2,6
		4,15,43,2,8
		5,18,61,4,12
		6,34,95,4,16
		7,44,139,3,19
		8,106,245,7,26
		9,143,388,8,34
		10,205,593,9,43
		11,385,978,11,54
		12,523,1501,12,66
		13,835,2336,11,77
		14,586,2922,15,92
		15,591,3513,15,107
		16,1234,4747,17,124
		17,1076,5823,21,145
		18,743,6566,49,194
		19,595,7161,43,237
		20,881,8042,54,291
		21,958,9000,63,354
		22,1075,10075,75,429
		23,1289,11364,85,514
		24,1365,12729,97,611
		25,1209,13938,113,724
		26,1053,14991,129,853
		27,1178,16169,135,988
		28,1192,17361,147,1135
		29,1046,18407,149,1284
		30,1237,19644,149,1433
		31,966,20610,123,1556
		32,1028,21638,129,1685
		33,1411,23049,127,1812
		34,1762,24811,123,1934
		35,2206,27017,143,2077
		36,2389,29406,157,2234
		37,2926,32332,144,2378
		38,3076,35408,139,2517
		39,2901,38309,123,2640
		40,3186,41495,117,2757
		41,3111,44606,141,2898
		42,2987,47593,138,3036
		43,2875,50468,124,3160
		44,2715,53183,134,3294
		45,2560,55743,158,3452
		46,2483,58226,151,3603
		47,2274,60500,136,3739
		48,2089,62589,133,3872
		49,1997,64586,121,3993
		50,1643,66220,117,4110
		51,1972,68192,122,4232
		52,1837,70029,125,4357
		53,1657,71686,117,4474
		54,1617,73303,111,4585
		55,1574,74877,98,4683
		56,1512,76389,94,4777
		57,1606,77995,92,4869
		58,1499,79494,89,4958
		59,1374,80868,73,5031
		60,1343,82211,87,5118
		61,1294,83505,91,5209
		62,1297,84802,88,5297
		63,1194,85996,94,5391
		64,1030,87026,90,5481
		65,1168,88194,93,5574
		66,1134,89328,76,5650
		67,1153,90481,60,5710
		68,991,91472,96,5806
		69,1112,92584,71,5877
		70,1073,93657,80,5957
		71,983,94640,71,6028
		72,1006,95646,63,6091
		73,802,96448,65,6156
		74,976,97424,47,6203
		75,1223,98647,74,6277
		76,1323,99970,63,6340
		77,1680,101650,78,6418
		78,1485,103135,68,6486
		79,1556,104691,55,6541
		80,1529,106220,48,6589
		81,1383,107603,51,6640
		82,1683,109286,45,6685
		83,1481,110767,48,6733
		84,1958,112725,50,6783
		85,1808,114533,71,6854
		86,2102,116635,48,6902
		87,1757,118392,35,6937
		88,1806,120198,51,6988
		89,2294,122492,69,7057
		90,2111,124603,62,7119
		91,2346,126949,64,7183
		92,2392,129341,66,7249
		93,2311,131652,51,7300
		94,1869,133521,59,7359
		95,2180,135701,58,7417
		96,2023,137724,34,7451
		97,1787,139511,57,7508
		98,2080,141591,56,7564
		99,2258,143849,63,7627
		100,2819,146668,50,7677
		101,2282,148950,57,7734
		102,2516,151466,63,7797
		103,2979,154445,81,7878
		104,3117,157562,64,7942
		105,3134,160696,70,8012
		106,3574,164270,59,8081
		107,2886,167156,63,8134
		108,2269,169425,75,8209
		109,2364,171789,72,8281
		110,2043,173832,70,8351
		111,2095,175927,74,8425
		112,2011,177938,81,8506
		113,2218,180156,78,8584
		114,2369,182525,75,8659
		115,2410,184955,71,8730
		116,2472,187427,107,8837
		117,2449,189876,113,8950
		118,2563,192439,115,9065
		119,2612,195051,120,9185
		120,2596,197647,87,9272
		121,2615,200262,120,9392
		122,2322,202584,115,9507
		123,2368,204952,116,9623
		124,2573,207525,119,9742
		125,2445,209970,121,9863
		126,2531,212501,133,9996
		127,2595,215096,134,10130
		128,2628,217724,109,10239
		129,2456,220180,125,10364
		130,2489,222669,144,10508
		131,2536,225205,162,10670
		132,2457,227662,147,10817
		133,2549,230211,141,10958
		134,2652,232863,148,11106
		135,2566,235429,154,11260
		136,2449,237878,148,11408
		137,2560,240438,163,11571
		138,2613,243051,160,11731
		139,2637,245688,200,11931
		140,2691,248379,153,12084
		141,2079,250458,221,12305
		142,2262,252720,142,12447
		143,2397,255117,188,12635
		144,2186,257303,194,12829
		145,2349,259652,203,13032
		146,2521,262173,179,13211
		147,2388,264561,199,13410
